store_id,store_name,city,state,contact_no,opening_date
1,Lucknow Hazratganj,Asansol,Gujarat,5051547740.0,2020-04-29
2,Noida Sector 18,Mirzapur,Manipur,4198397952.0,2016-12-25
3,Delhi Connaught Place,Kottayam,Haryana,Not Available,2017-05-24
4,Gurugram Cyber City,Karaikudi,Uttar Pradesh,6851567170.0,2019-04-05
5,Mumbai Andheri,Ghaziabad,Sikkim,3217222949.0,2017-11-16
6,Pune Hinjewadi,Kollam,Mizoram,415398817.0,2016-11-21
7,Bengaluru Mg Road,Dewas,Sikkim,8700053261.0,2019-03-08
8,Hyderabad Banjara Hills,Agartala,Punjab,913707687390.0,2019-12-28
9,Chennai T Nagar,Motihari,Punjab,916730536876.0,2016-10-01
10,Kolkata Park Street,Ulhasnagar,Karnataka,7785664193.0,2017-10-07
