product_id,product_name,category_id,supplier_id,brand,cost_price,selling_price,stock_quantity,reorder_level,date_added,is_active
1,Ex Max,24,1,Boat,3307,4212.67,22,10,2024-01-18,True
2,Omnis Plus,19,77,Dell,21421,25718.02,344,10,2026-01-22,True
3,Praesentium Pro,24,171,Adidas,13751,15766.86,122,10,2022-07-18,True
4,Consequatur Ultra,1,3,Dell,49222,60574.43,151,10,2022-09-22,True
5,Sunt Lite,12,69,Nike,17915,24951.21,228,10,2022-07-14,False
6,Ratione Pro,14,175,Canon,11127,13619.6,78,10,2024-09-07,True
7,Facilis Ultra,7,46,Puma,39303,51184.92,11,10,2022-05-11,True
8,Facere Plus,19,63,Philips,32101,36121.85,464,10,2022-02-25,True
9,Excepturi Plus,25,158,Sony,43613,60178.61,147,10,2023-05-09,True
10,Incidunt Lite,11,145,LG,41341,47673.18,3,10,2022-09-11,True
11,Omnis Lite,20,77,Boat,36825,46847.95,478,10,2022-01-06,True
12,Temporibus Pro,2,64,Lenovo,32635,38025.92,214,10,2025-09-07,True
13,Molestias Plus,3,21,Dell,24465,28412.65,278,10,2022-01-11,True
14,Corrupti Plus,4,80,Lenovo,22999,28108.46,270,10,2022-05-18,True
15,Quibusdam Pro,8,33,Samsung,30623,41419.42,9,10,2026-04-28,True
16,Tempora Max,5,28,Apple,36764,40733.15,189,10,2023-09-06,True
17,Iusto Plus,6,41,Dell,22865,28987.31,47,10,2025-10-19,True
18,In Max,12,44,Sony,45214,59305.71,417,10,2025-07-17,True
19,Vel Lite,11,59,Havells,46421,63738.28,335,10,2022-04-03,True
20,Ab Ultra,18,177,HP,18749,23716.99,265,10,2026-07-05,True
21,Nobis Lite,21,135,Sony,19275,23220.97,397,10,2025-06-23,True
22,Explicabo Plus,16,42,Lenovo,44090,53712.29,370,10,2024-12-08,True
23,Quibusdam Lite,19,193,Boat,48949,61076.69,2,10,2025-02-19,False
24,Repellendus Pro,20,66,Dell,7677,9516.78,130,10,2026-02-16,True
25,Provident Max,1,60,Samsung,785,963.97,436,10,2023-07-07,True
26,Saepe Max,25,147,Philips,31270,39321.88,236,10,2021-08-26,True
27,Ipsum Lite,22,90,Philips,18195,20571.01,214,10,2022-10-02,True
28,Neque Pro,2,17,Dell,24047,31879.46,101,10,2025-05-26,True
29,Saepe Lite,24,96,Apple,276,334.0,161,10,2023-10-05,True
30,Debitis Lite,12,65,Adidas,27911,37256.01,93,10,2025-05-31,False
31,Earum Lite,12,20,Lenovo,13073,15725.28,200,10,2021-08-09,True
32,Accusantium Ultra,23,29,Dell,179,203.15,332,10,2024-10-26,False
33,Non Max,7,89,Adidas,37409,46377.56,406,10,2026-04-18,True
34,Tempora Lite,19,94,Godrej,11866,13549.01,447,10,2024-11-30,True
35,Unde Pro,14,15,Nike,2161,2829.86,277,10,2025-02-09,True
36,Ipsam Pro,4,132,Nike,12205,16004.09,25,10,2026-07-03,True
37,Porro Ultra,18,44,Puma,3561,4264.67,379,10,2022-06-12,False
38,Harum Pro,2,30,Lenovo,3374,4055.07,282,10,2025-09-23,False
39,Officiis Lite,12,76,Nike,28322,34329.21,326,10,2026-05-02,True
40,Rem Max,12,102,Nike,24928,29100.43,374,10,2022-01-22,False
41,Ullam Plus,9,20,LG,18454,25066.66,151,10,2022-03-18,True
42,At Plus,5,169,Sony,37965,48472.66,137,10,2024-02-25,True
43,Quam Max,1,193,Nike,20554,27690.53,303,10,2023-08-11,True
44,Cum Max,15,186,Boat,32533,45127.11,106,10,2022-01-24,False
45,Qui Plus,14,45,Nike,13961,15438.87,306,10,2023-09-03,True
46,Dicta Ultra,4,118,Dell,13516,17396.08,254,10,2023-01-08,False
47,Labore Pro,4,89,Adidas,17932,23142.5,328,10,2021-07-30,True
48,Deserunt Max,8,127,Puma,15787,21211.73,98,10,2023-01-01,False
49,Magni Plus,8,112,Apple,11632,14663.22,301,10,2026-01-01,True
50,Cum Pro,20,190,Philips,47780,59916.59,152,10,2023-04-10,True
51,Explicabo Lite,13,26,Puma,31452,38642.07,179,10,2021-12-09,True
52,Fugit Plus,22,63,Sony,48264,60166.67,97,10,2025-08-29,True
53,Rem Max,2,5,HP,32553,45342.77,486,10,2024-05-19,False
