return_id,order_item_id,return_date,return_reason,refund_amount,return_status
1,541552,2026-05-15 18:34:28,Customer Changed Mind,26049.91,Approved
2,399369,2026-01-21 02:00:05,Customer Changed Mind,49517.29,Rejected
3,306520,2025-01-22 09:43:02,Damaged Product,6710.49,Approved
4,483389,2024-10-01 19:10:54,Wrong Product Delivered,14065.79,Rejected
5,314696,2026-05-12 17:47:53,Size Issue,724.76,Rejected
6,86455,2025-04-16 03:06:15,Damaged Product,851.05,Rejected
7,442197,2026-01-15 09:57:24,Customer Changed Mind,42602.84,Rejected
8,684312,2025-11-17 03:51:56,Size Issue,18252.78,Rejected
9,338281,2024-12-14 03:35:59,Customer Changed Mind,7398.36,Rejected
10,620965,2025-09-08 11:26:43,Wrong Product Delivered,21232.82,Approved
11,34369,2026-05-25 01:23:12,Wrong Product Delivered,18887.97,Rejected
12,331837,2024-08-09 16:28:31,Defective Item,20179.72,Rejected
13,696599,2025-10-29 17:56:14,Defective Item,12846.86,Refunded
14,313675,2025-10-28 17:25:46,Size Issue,10677.74,Approved
15,569263,2025-09-05 19:50:57,Wrong Product Delivered,22933.74,Approved
16,231499,2025-05-30 07:09:43,Defective Item,6444.15,Approved
17,501685,2026-07-01 07:55:41,Defective Item,9763.3,Approved
18,678552,2025-07-24 08:26:06,Customer Changed Mind,45914.9,Refunded
19,498929,2024-11-16 18:33:53,Damaged Product,3193.43,Approved
20,502164,2025-03-21 04:33:55,Size Issue,33262.35,Refunded
21,745285,2025-03-30 07:29:32,Defective Item,29989.46,Rejected
22,30935,2025-08-03 09:29:39,Damaged Product,13719.63,Rejected
23,255971,2025-02-20 18:19:09,Defective Item,33579.6,Rejected
24,211288,2026-03-19 11:25:20,Wrong Product Delivered,27548.0,Refunded
25,368718,2025-05-09 03:05:41,Size Issue,29525.23,Refunded
26,439117,2026-03-28 07:32:25,Wrong Product Delivered,24987.38,Rejected
27,661667,2025-07-06 05:16:31,Defective Item,31940.65,Rejected
28,688035,2025-02-12 11:54:27,Damaged Product,30982.49,Rejected
29,102294,2024-11-18 22:45:17,Customer Changed Mind,24740.89,Rejected
30,581622,2025-04-09 01:15:21,Size Issue,8736.28,Rejected
31,131087,2025-10-19 15:34:22,Customer Changed Mind,14437.5,Refunded
32,266876,2025-12-20 11:31:35,Damaged Product,36487.44,Approved
33,721188,2025-09-19 01:05:10,Wrong Product Delivered,9576.8,Rejected
34,36049,2024-12-06 11:50:41,Customer Changed Mind,42921.0,Approved
35,563282,2025-04-16 05:51:52,Customer Changed Mind,31300.72,Refunded
36,199652,2026-01-03 21:31:58,Size Issue,8172.97,Approved
37,160637,2025-10-24 11:34:06,Defective Item,34438.12,Refunded
38,665104,2025-04-25 09:33:49,Customer Changed Mind,46849.39,Approved
39,444801,2026-06-26 19:07:12,Damaged Product,48298.87,Rejected
40,258940,2026-05-14 17:52:52,Size Issue,31309.51,Refunded
41,508055,2025-01-25 12:20:37,Size Issue,26515.77,Rejected
42,491282,2026-05-13 01:50:20,Damaged Product,41960.17,Refunded
43,539060,2025-01-26 02:42:38,Defective Item,33953.02,Rejected
44,179178,2025-09-23 15:30:09,Damaged Product,15251.27,Refunded
45,120553,2026-06-27 23:38:16,Defective Item,39664.56,Rejected
46,351899,2024-09-21 19:00:00,Size Issue,29594.71,Approved
47,496493,2025-12-05 21:51:21,Customer Changed Mind,20367.57,Approved
48,470993,2025-06-20 22:05:53,Size Issue,22719.66,Approved
49,530907,2025-09-08 12:49:07,Damaged Product,44799.04,Refunded
50,566644,2025-06-06 19:04:22,Customer Changed Mind,18554.07,Refunded
51,513093,2024-10-18 06:45:47,Size Issue,44520.44,Approved
52,136440,2025-02-02 23:21:18,Wrong Product Delivered,33555.23,Rejected
53,146618,2025-07-15 09:24:41,Customer Changed Mind,19096.87,Rejected
54,191802,2026-04-30 01:42:17,Customer Changed Mind,15260.12,Refunded
55,717697,2025-12-29 07:53:42,Wrong Product Delivered,35757.03,Approved
56,748046,2025-11-26 04:35:37,Wrong Product Delivered,24924.31,Rejected
57,143366,2025-06-03 02:38:47,Damaged Product,14816.2,Refunded
58,12126,2025-09-02 08:29:10,Damaged Product,5526.81,Rejected
59,426651,2024-09-25 07:02:12,Customer Changed Mind,33281.12,Approved
60,586634,2026-06-06 18:13:33,Customer Changed Mind,37553.59,Refunded
61,464034,2024-08-22 22:34:42,Customer Changed Mind,36673.64,Refunded
62,329987,2024-08-27 12:19:18,Damaged Product,11526.42,Rejected
63,730650,2025-06-24 03:27:44,Customer Changed Mind,24598.0,Rejected
64,208043,2024-12-14 07:19:07,Customer Changed Mind,39005.97,Rejected
65,138694,2026-05-18 16:35:18,Wrong Product Delivered,24897.6,Approved
66,123357,2025-07-23 02:59:17,Damaged Product,8463.92,Approved
67,199399,2025-01-29 00:58:41,Damaged Product,30631.53,Refunded
68,369779,2025-11-23 05:31:54,Size Issue,31821.74,Approved
69,645262,2025-01-03 07:06:04,Size Issue,2060.13,Rejected
70,205861,2024-10-10 06:09:11,Wrong Product Delivered,28129.01,Approved
71,455948,2026-06-01 21:55:02,Wrong Product Delivered,25419.0,Approved
72,264758,2025-06-09 05:49:34,Defective Item,25859.21,Refunded
73,580501,2025-06-14 16:55:26,Size Issue,8619.61,Refunded
74,198483,2025-02-20 06:27:36,Customer Changed Mind,36623.88,Rejected
75,101292,2024-11-27 06:16:48,Size Issue,16716.46,Rejected
76,187224,2025-06-01 17:47:55,Size Issue,38263.83,Approved
77,272510,2026-05-09 07:26:17,Damaged Product,3036.57,Refunded
78,473994,2024-12-19 10:18:08,Size Issue,10260.44,Approved
79,534240,2025-10-10 11:32:49,Defective Item,40153.51,Refunded
80,695524,2026-01-17 12:02:02,Size Issue,34860.94,Refunded
81,98942,2024-07-29 16:32:59,Size Issue,25824.47,Approved
82,83518,2026-03-04 17:38:12,Customer Changed Mind,48672.59,Rejected
83,230110,2026-05-01 13:52:11,Wrong Product Delivered,27611.19,Approved
84,377444,2026-05-27 13:27:06,Damaged Product,16124.24,Refunded
85,588714,2025-09-20 17:34:44,Customer Changed Mind,35869.02,Refunded
86,468710,2026-04-15 15:11:23,Size Issue,40316.13,Rejected
87,9172,2026-05-27 11:23:15,Defective Item,25871.6,Rejected
88,69025,2025-08-05 09:07:01,Size Issue,41846.59,Approved
89,567220,2025-01-09 17:21:43,Damaged Product,2213.23,Rejected
90,249042,2025-04-12 18:58:08,Size Issue,15349.83,Refunded
91,484806,2025-12-20 02:05:40,Defective Item,46388.1,Rejected
92,424246,2026-03-11 04:23:26,Wrong Product Delivered,3321.88,Refunded
93,486461,2025-07-05 01:15:00,Size Issue,35490.14,Refunded
94,286668,2026-05-01 22:59:42,Wrong Product Delivered,4536.86,Refunded
95,504379,2024-12-24 03:06:55,Size Issue,49919.72,Rejected
96,160910,2025-05-26 03:31:40,Damaged Product,26308.82,Approved
97,557111,2026-07-06 08:21:35,Customer Changed Mind,45018.19,Approved
